Property name,s3 name,Submarket,Market,Total Number of units,Studio number of units,1 bed number of units,2 bed number of units,3 bed number of units,4 bed number of units,5 bed number of units
"Boulders at Lone Mountain, The",The Boulders at Lone Mountain,Las Vegas NW,Las Vegas,388,0,237,125,26,0,0
Estancia,Estancia,Las Vegas NW,Las Vegas,252,4,65,159,24,0,0
Morada West,Morada West,Maryvale,Phoenix,428,0,57,322,49,0,0
San Valiente,San Valiente,Metrocenter,Phoenix,604,0,192,332,80,0,0
Arboretum At South Mountain,Arboretum at South Mountain,Mountain Park,Phoenix,312,0,156,132,24,0,0
Carlyle at South Mountain,Carlyle at South Mountain,Mountain Park,Phoenix,552,0,180,260,112,0,0
Indigo,Indigo,Mountain Park,Phoenix,101,0,18,83,0,0,0
Liv Ahwatukee,Liv Ahwatukee,Mountain Park,Phoenix,402,0,186,168,48,0,0
Mountainside,Mountainside,Mountain Park,Phoenix,288,0,120,144,24,0,0
Villas on Bell,Villas on Bell,North Black Canyon,Phoenix,168,0,24,128,16,0,0
7160 Optima Kierland,Optima Kierland,North Paradise Valley,Phoenix,150,0,81,63,6,0,0
Desert Horizon,Desert Horizon,North Paradise Valley,Phoenix,514,0,176,270,68,0,0
Inspiration at Frank Lloyd Wright,Inspiration,North Scottsdale,Phoenix,200,0,105,83,12,0,0
Scottsdale Highlands,Scottsdale Highlands,North Scottsdale,Phoenix,272,0,82,156,34,0,0
1221 Broadway,1221 Broadway,North Tempe,Phoenix,194,42,44,60,48,0,0
Camden Tempe,Camden Tempe,North Tempe,Phoenix,234,0,97,116,21,0,0
Nexa,Nexa,North Tempe,Phoenix,399,15,224,138,22,0,0
VELA,Vela,North Tempe,Phoenix,290,0,211,79,0,0,0
West 6th,W6,North Tempe,Phoenix,375,28,137,171,37,2,0
Terra Villa,Terra Villas,Northwest Phoenix,Phoenix,140,46,72,22,0,0,0
Artessa,Artessa,Peoria,Phoenix,298,0,124,148,26,0,0
Circa Central Avenue,Circa Central Avenue,Sky Harbor,Phoenix,227,32,178,17,0,0,0
CIRQ 44,CIRQ 44,Sky Harbor,Phoenix,297,43,172,82,0,0,0
CityScape Residences,CityScape Residences,Sky Harbor,Phoenix,224,32,125,62,5,0,0
Alante at the islands,Alante at the Islands,South Mesa,Phoenix,320,0,96,176,48,0,0
Biscayne Bay,Biscanye Bay,South Mesa,Phoenix,512,0,224,272,16,0,0
"Trend at 51, The",The Trend at 51,South Paradise Valley,Phoenix,191,44,144,3,0,0,0
Esteban Park,Esteban Park,South Phoenix,Phoenix,204,0,24,144,36,0,0
"Montana, The",The Montana,South Phoenix,Phoenix,134,0,40,81,13,0,0
Camden Old Town Scottsdale,Camden Old Town,South Scottsdale,Phoenix,316,53,121,138,4,0,0
Allure at Tempe,Allure at Tempe,South Tempe,Phoenix,216,0,0,136,66,14,0
Cityscape At Lakeshore,CityScape at Lakeshore,South Tempe,Phoenix,214,0,75,103,36,0,0
Finisterra,Finisterra,South Tempe,Phoenix,356,0,123,156,77,0,0
"Turn, The",The Turn,Sunnyslope,Phoenix,166,14,64,72,16,0,0
Tides at Paradise Valley,Tides at Paradise Valley,Sunnyslope,Phoenix,380,44,168,168,0,0,0
Bella Victoria,Bella Victoria,Superstition Springs,Phoenix,236,0,0,200,36,0,0
Cortland Mountain Vista,Cortland Mountain Vista,Superstition Springs,Phoenix,384,0,156,204,24,0,0
Craft at Gilbert and Baseline,Craft at Gilbert and Baseline,Superstition Springs,Phoenix,104,0,33,71,0,0,0
Envision,Envision,Superstition Springs,Phoenix,248,0,104,128,16,0,0
Hampton East,Hampton East,Superstition Springs,Phoenix,143,0,34,67,42,0,0
Vista Grove,Vista Grove,Superstition Springs,Phoenix,224,0,72,112,40,0,0
Aria on Cave Creek,Aria on Cave Creek,Union Hills,Phoenix,292,0,136,138,18,0,0
Arrive North Scottsdale,Arrive North Scottsdale,Union Hills,Phoenix,204,0,60,138,6,0,0
Avana Desert View,Avana Desert View,Union Hills,Phoenix,412,0,144,196,72,0,0
Desert Club,Desert Club,Union Hills,Phoenix,497,18,220,211,48,0,0
Element Deer Valley,Element Deer Valley,Union Hills,Phoenix,629,79,209,247,58,36,0
Acero at Estrella Commons,Acero at Estrella Commons,Western Suburbs,Phoenix,352,0,172,150,30,0,0
"Village at West Point, The",The Village at West Point,Western Suburbs,Phoenix,168,0,64,80,24,0,0
