,text,label,
881,11-foot ceiling heightOpen Space Area,ceilings,
907,Nine-foot ceilings with fansNine-foot ceilings with fans,ceilings,
932,Expansive 9' and 10' Ceilings,ceilings,
935,9' ft ceilings,ceilings,
975,9-foot ceilings; 11-foot and 14-foot loft units also available,ceilings,
1062,9’ and 10’ ceilings,ceilings,
1071,Ceiling fans in bedroom and living room with switched outlets,ceilings,
1140,Vaulted ceilingsVaulted ceilingsVaulted ceilings,ceilings,
1145,10’ Ceilings and Vaulted Ceilings Available,ceilings,
1164,Floor to ceiling windows afford unprecedented mountain and city views,ceilings,
1205,9 ft ceilings in lower 3 x floors,ceilings,
1258,9 ft ceilings,ceilings,
1266,Soaring 19-Foot Ceilings,ceilings,
1276,"Smooth 9-foot ceilings and vaulted third-floor ceilings in select units, all designed to convey an elegant flow and sense of space.",ceilings,
1300,9-foot ceilings with fans,ceilings,
1303,9 foot ceilings with crown molding,ceilings,
1308,Expansive 9-Foot Ceilings,ceilings,
1400,10 to 11-foot high ceilings,ceilings,
285,Onsite Electric Car Charging Station,charging station,
361,Electric vehicle charging stations,charging station,
463,Electric car station,charging station,
509,Electric Car Charging Station,charging station,
614,EV Charging Stations,charging station,
993,Electric Vehicle Charging Stations,charging station,
2,Walk-in closet (select homes),closet,
4,Linen closet,closet,
10,Spacious coat closet,closet,
21,Walk-in closets with custom shelving,closet,
24,"Spacious Studios, One- and Two-Bedroom Apartments, and Penthouse Residences",closet,
31,walk-in closets with custom wood shelving,closet,
34,Master Walk-In Closet,closet,
54,Walk-In Closets,closet,
59,Linen Closet,closet,
72,Walk-in closets,closet,
83,Oversized walk-in closets,closet,
85,Spacious Walk-in Closets,closet,
89,Oversize walk-in closets,closet,
92,Walk in closets,closet,
97,Spacious walk-in master bedroom closet,closet,
98,Oversize walk-in closets with mirrored doors,closet,
103,Walk-in Closets,closet,
109,Spacious Closets,closet,
112,Spacious walk-in closets with mirrored doors; OR Oversized closets,closet,
113,Mirrored closet doors,closet,
122,Oversized walk-in closets and ample storage spaces,closet,
130,Oversized closets,closet,
138,Spacious Walk-In Closets,closet,
140,Mirrored Closet Doors,closet,
141,Spacious walk-in closets,closet,
143,Spacious walk-in closets in master bedroom,closet,
152,Linen closet/shelving in bathrooms,closet,
170,Walk-in closet in master bedroom,closet,
172,Spacious closets with mirrored doors,closet,
173,Built-In Linen Closets,closet,
185,Walk-in master closet,closet,
187,Spacious walk-in closets with mirrored doors,closet,
236,Walk-in closets with mirrored doors,closet,
245,Walk-in master closets in 2- + 3-bedroom residences,closet,
272,Master walk-in closet,closet,
286,"Walk-in master closet, mirrored doors",closet,
19,"Luxurious clubhouse with big-screen TVs, fireplace and full kitchen",clubhouse,
22,Clubhouse with Full Kitchen and Resident Lounge,clubhouse,
23,Clubhouse with large screen TV,clubhouse,
24,"Spectacular Clubhouse featuring a complete media and game room, lounge, and billiards",clubhouse,
29,contemporary clubhouse,clubhouse,
31,Resident Clubroom with Demonstration Kitchen & Complimentary Coffee Bar,clubhouse,
42,"Luxurious clubhouse fireplace, full kitchen and TVs",clubhouse,
53,Pavilion,clubhouse,
54,Clubhouse with fireplace and bar,clubhouse,
70,Friendly clubhouse with social lounge,clubhouse,
70,Modern Clubhouse Offering Entertainment Kitchen and High-End Amenities,clubhouse,
80,3rd-Floor Clubhouse with Wraparound Balcony,clubhouse,
84,"4,000 sq. ft multipurpose clubhouse",clubhouse,
89,Welcoming clubhouse with beverage area,clubhouse,
100,Resident clubhouse,clubhouse,
108,"Luxurious clubhouse with fireplace, full kitchen and social patio",clubhouse,
109,Clubroom with Gourmet Kitchen and Complimentary Coffee Bar,clubhouse,
114,Clubhouse+,clubhouse,
114,Resident clubhouse with flatscreen TV,clubhouse,
118,Clubhouse with Co-Working Space,clubhouse,
144,Club House,clubhouse,
144,Amenity area with vaulted ceiling view of Camelback mountain,clubhouse,
211,Clubhouse with iPad Bar,clubhouse,
231,Resident Clubhouse,clubhouse,
238,Community Clubhouse,clubhouse,
258,Clubhouse with HDTV living room,clubhouse,
271,"Clubhouse with granite bar, full kitchen, TV and cozy fireplace",clubhouse,
291,24 Hour Clubhouse,clubhouse,
298,Spectacular Clubhouse featuring a complete lounge and billiards,clubhouse,
323,Sophisticated Clubhouse with Swanky Lounge and Gourmet Kitchen,clubhouse,
356,Ramada,clubhouse,
404,"Luxurious clubhouse with big-screen TV, fireplace, full kitchen and social patio overlooking the lake",clubhouse,
410,"Luxurious clubhouse with big-screen TV, fireplace and full kitchen",clubhouse,
448,"Luxurious clubhouse with TVs, fireplace and full kitchen",clubhouse,
495,Clubhouse,clubhouse,
530,Clubhouse Access on Level 6,clubhouse,
539,Elite clubhouse,clubhouse,
594,Clubhouse with kitchen and TVs,clubhouse,
1146,Clubroom Kitchen/Serving Station,clubhouse,
28,Coffee Bar,coffee cafe,
158,Java bar,coffee cafe,
568,Starbucks barista machine,coffee cafe,
154,Spacious Community Grounds,courtyard,
176,Charming Community Fountains,courtyard,
219,Controlled-access community,gated entry,
678,Community,community area,
434,Cornhole & Shuffle board,cornhole,
631,Bocce Ball & Cornhole Courts,cornhole,
674,Lawn for Cornhole & Other Yard Games,cornhole,
925,Lawn Games Area (Bocce Ball + Corn Hole),cornhole,
24,Courtyards & Nook Seating Areas Scattered Throughout,courtyard,
28,Resident courtyard with private resort-style pool,courtyard,
270,Pet-friendly courtyard and green space,courtyard,
443,Pet friendly artificial grass in backyard,courtyard,
526,Relaxation Courtyard,courtyard,
533,North Courtyard w/ Water Fountain & Shade Trellis Seating,courtyard,
726,Backyard Artificial Turf,courtyard,
56,Designer color schemes and lighting,decor,
10,Dishwasher and built-in microwave,dishwasher,
227,Dishwashers,dishwasher,
257,"Dishwasher, built-in microwave, glass-top stove",dishwasher,
276,Dishwasher & Garbage Disposal,dishwasher,
315,Dishwasher,dishwasher,
4,Private dog park+,dog park,
15,Next to a Pet-friendly Park,dog park,
33,Pocket parks,dog park,
61,Expansive dog park,dog park,
66,Close to dog park,dog park,
130,Dog Park,dog park,
283,Dog Park Onsite,dog park,
285,Dog park on site,dog park,
303,Onsite Dog Park,dog park,
309,On-site dog park,dog park,
328,Shaded outdoor dog park on the ground floor,dog park,
386,On-site fully enclosed dog park,dog park,
391,convenient pet park & grooming area,dog park,
408,Private Dog Park,dog park,
425,"Massive Dog Park with an agility course, shade, and water fountains",dog park,
514,Paws Playground Dog Park,dog park,
527,Fenced in dog park,dog park,
595,Dog Park and Dog Run,dog park,
614,Off-leash dog park,dog park,
640,Convenient Pet Park & Grooming Area,dog park,
656,Large dog park,dog park,
673,Dog park,dog park,
701,dog park,dog park,
987,New Dog Park---Pets welcome (breed restrictions apply),dog park,
2,Wide arcadia door opening,doors,
406,Weather-sealed insulated doors,doors,
414,Impact Doors and Windows,doors,
444,Solid core interior wood doors,doors,
1246,Doorbell,doors,
416,Personal Driving Service (select days/evenings),driving service,
171,Dry cleaning delivery services,dry cleaning,
90,Freight elevator,elevator,
178,Elevators,elevator,
234,Convenient Elevator Transportation,elevator,
259,3 Story Garden Apartments with Elevators,elevator,
270,Hoist Motion Cage,elevator,
288,Elevator access,elevator,
420,Residential Elevator Access,elevator,
477,Elevator Access,elevator,
506,Elevator access to all buildings,elevator,
528,Interior elevators,elevator,
8,National Green Building Standard Green-Certified,energy efficient appliances,
9,Superior energy efficient building,energy efficient appliances,
112,Energy Efficient,energy efficient appliances,
155,Energy Star qualified with a radiant barrier,energy efficient appliances,
175,Energy-Efficient Appliances,energy efficient appliances,
200,Energy-efficient appliance,energy efficient appliances,
201,Energy Star Stainless-Steel Appliance Package,energy efficient appliances,
517,Energy efficient & stainless steel appliances,energy efficient appliances,
759,Energy Star Appliance Package,energy efficient appliances,
57,Stylish raised-panel doors,entryway,
242,French door,entryway,
322,Portico Entryways,entryway,
347,Rounded corners and arched doorways,entryway,
389,Barn door openings,entryway,
0,Weekly Social Events for Residents and Guests,events,
0,Private Wine Tasting & Party Room,events,
71,Events to foster a sense of community,events,
74,Social and Dining Spaces,events,
81,Monthly resident events,events,
386,Multi-Purpose Event Lawn,events,
439,Multi-purpose Event Lawn,events,
563,Multi-purpose event lawn,events,
220,Fireplace,fireplace,
379,Fireplace with natural gas,fireplace,
585,Gas fireplace,fireplace,
596,Natural Gas Fireplace,fireplace,
711,Outdoor fireplace,fireplace,
921,Poolside fireplace,fireplace,
1034,Two outdoor fireplaces with cozy seating area,fireplace,
1119,Three outdoor fire pits with cozy seating area,fireplace,
14,Brand-New 1 & 2 Bedroom Detached Homes,floor plan,
15,Split floorplans,floor plan,
50,3 story Garden Apartments,floor plan,
77,apartments available in three color schemes,floor plan,
80,Select apartment homes with den,floor plan,
153,"Studio, one, two & three bedroom floor plans",floor plan,
71,Ceramic tile throughout downstairs of home and in bathrooms upstairs,flooring,
72,Subway Tile Kitchen Backsplash,flooring,
99,Distressed plank flooring,flooring,
109,Extended planking optional,flooring,
141,Hardwood-Inspired Plank Flooring,flooring,
175,Durable and efficient concrete roof tile,flooring,
180,Plank floors,flooring,
182,Wood-Inspired Flooring,flooring,
197,Vinyl plank flooring in select homes,flooring,
198,Tile floors,flooring,
206,Sleek wood-like luxury plank flooring,flooring,
243,Wood-inspired flooring,flooring,
244,"Wood plank vinyl flooring in kitchen, living room, baths, and entry",flooring,
267,Wood-Style Plank Flooring and Plush Carpeting,flooring,
286,hand-scraped oak floors,flooring,
303,Floating hardwood floors,flooring,
309,Tile Backsplashes,flooring,
316,Ceramic tile flooring,flooring,
323,Contemporary Tile Backsplashes,flooring,
339,Modern Backsplash,flooring,
351,Plush carpeting in bedrooms,flooring,
365,Wood vinyl flooring,flooring,
382,Modern Tile Backsplash,flooring,
444,Hardwood floors,flooring,
477,Wood-style floors (select homes),flooring,
490,Plush carpeting,flooring,
503,Wood-style flooring,flooring,
522,"Luxurious, Plush Carpeting",flooring,
525,Smooth surface cooktop,flooring,
544,Ceramic tile entry,flooring,
547,Vinyl wood plank flooring,flooring,
548,Premium carpeting in bedrooms,flooring,
552,Designer Grade Carpeting,flooring,
611,Wood style flooring,flooring,
622,Italian tile backsplash,flooring,
659,Hardwood-Style Plank Flooring,flooring,
662,Tiled kitchen backsplash,flooring,
668,Upgraded carpeting and pad,flooring,
693,Hand-Scraped Hardwood Oak Floors,flooring,
758,Designer Kitchen Tile Backsplash,flooring,
786,"Ceramic tile floors in kitchen, entry and baths",flooring,
808,Carpeting,flooring,
813,Ultra Luxury Wood Plank Style Flooring,flooring,
821,Wood plank flooring,flooring,
824,"Luxurious, plush carpeting",flooring,
827,"Ceramic tile floors in kitchen, entry, and baths",flooring,
831,"Ceramic tile floors in kitchen, baths and entry",flooring,
857,Upgraded carpet in bedrooms and upstairs hallway,flooring,
864,"Distressed vinyl wood plank flooring in entry, kitchen, baths & living/dining rooms",flooring,
888,subway tile backsplash,flooring,
964,"Vinyl wood plank flooring in entry, living room, kitchen and baths",flooring,
965,Lush barefoot friendly carpeting,flooring,
979,Hardwood Floors,flooring,
995,Attractive faux wood flooring,flooring,
1043,Wood-Style Plank Flooring,flooring,
1060,backsplash,flooring,
1070,Plush and Luxurious carpeting,flooring,
1085,"Vinyl wood plank flooring in entry, kitchen and baths",flooring,
1092,Hardwood Flooring,flooring,
1101,Plank flooring,flooring,
1121,Hardwood-style floors,flooring,
1129,"Wood-Style Flooring Throughout Kitchen, Bath, Living and Dining Rooms",flooring,
1169,Wood-Style Flooring Throughout,flooring,
1171,Wood-Style Flooring,flooring,
1174,Ceramic tile tub + shower,flooring,
1177,Plank-style flooring,flooring,
1189,Easy to maintain wood look flooring,flooring,
1191,Wide Plank Hardwood Flooring,flooring,
1228,Vinyl Plank Flooring,flooring,
1263,Ceramic tile entries,flooring,
29,"Game room with billiards, foosball & shuffleboard",game room,
65,Retro Arcade Games with Pool Table,game room,
162,Game Room with Billiards,game room,
343,Club Room with Billiards and HDTV,game room,
366,"Poker Room, Billiard Room with flat screen TV",game room,
4,Optional detached private garage,garage,
13,Townhomes w/ attached 2-car garages,garage,
16,Direct-access garages,garage,
24,Attached two-car garage,garage,
31,Attached 2-car garage,garage,
46,Garage Parking,garage,
47,Two-car garage and automatic opener,garage,
48,Garage storage shelving,garage,
55,Garage Storage Shelving,garage,
66,Attached garage,garage,
72,Attached 1-car or 2-car garage with automatic opener,garage,
78,Optional attached or detached private garage,garage,
92,Detached private garage,garage,
97,Attached and Detached Garages,garage,
99,Garages available,garage,
101,2-car direct access garages with each townhome,garage,
107,Detached Garage,garage,
127,Optional detached garage or additional covered parking,garage,
146,Garage Parking Included,garage,
152,Detached garages available,garage,
162,Detached garage and storage available,garage,
177,Two-car garage,garage,
219,Direct access garage,garage,
272,Optional garage and assigned covered parking,garage,
274,Detached Garages Available,garage,
278,Reserved private parking garages,garage,
281,Attached Two-Car Garage,garage,
289,Townhomes with direct garage access available,garage,
292,Attached & Detached Garages Available for Rent,garage,
295,Garages Available,garage,
330,Optional detached garages,garage,
341,Detached Garages,garage,
342,Garages & storage available for rent,garage,
384,Direct access garages (select homes),garage,
401,Attached private garages,garage,
411,Optional detached garage,garage,
437,Gated parking garage,garage,
451,Single detached garages available,garage,
463,Private garages,garage,
472,Attached or Detached Garage with Automatic Opener,garage,
496,Direct access garages,garage,
503,Private Garages,garage,
40,Garbage Disposal,garbage,
65,Garbage disposal,garbage,
86,Convenient trash room with chute on every floor,garbage,
238,Trash Valet,garbage,
304,Trash valet,garbage,
530,Valet Trash Service,garbage,
775,Valet Trash Pickup,garbage,
374,Herb Garden,garden,
537,Garden,garden,
589,Community Garden,garden,
667,Vegetable and Herb Garden,garden,
51,Smart video intercom to main gate,gated entry,
1,Gated Community Access,gated entry,
42,Private/Gated community+,gated entry,
46,Private gated access,gated entry,
48,Elegant entry with controlled-access gate,gated entry,
49,Gated entrance/gated,gated entry,
56,Control access gated community,gated entry,
58,Gated Entry,gated entry,
71,Controlled Access Gates,gated entry,
75,Elegant gated entry,gated entry,
94,Elegant Porte Cochere gated entry,gated entry,
101,Smart Entry Gated Access,gated entry,
107,Gated Electronic Entrance,gated entry,
110,Gated Community with Controlled Access Entry,gated entry,
113,Gated Entrances/Exits,gated entry,
120,Controlled Access Community,gated entry,
121,Smart Gated Community,gated entry,
125,Controlled access,gated entry,
136,Two elegant porte-cochere entrances with controlled-access gates,gated entry,
151,Pedestrian Access Control Gate,gated entry,
156,Gated entry,gated entry,
158,Smartphone Resident Access System,gated entry,
159,Gated Entrance/Gated,gated entry,
161,Controlled access community,gated entry,
169,Gated Community with keyfob access,gated entry,
175,Gated Community,gated entry,
177,Smart entry security gates,gated entry,
200,Gated entry with remote,gated entry,
231,Elegant entry with controlled-access gate for extra privacy,gated entry,
252,Covered entry,gated entry,
301,Gated electronic entrance,gated entry,
436,Controlled-access entry gate for extra privacy,gated entry,
439,Smart entry security gate,gated entry,
440,Elegant porte cochere gated entry,gated entry,
49,Putting green,golf,
157,"Optional ""Gold Package"" including satin nickel knobs & handles on all kitchen and bathroom cabinetry, ceiling fans with 52-inch cherry wood blades, swirled marble glass decorative lighting, carpeting, and your favorite of three paint colors for accenting up to two walls",granite counters,
222,Bathrooms include marble tile and Italian design Lineabeta accessories,granite counters,
248,Cultured marble countertops with integral sinks,granite counters,
283,"Optional ""Platinum Package"" including all the ""Gold Package"" feature plus vinyl wood-plank floors",granite counters,
301,Granite countertops,granite counters,
362,Granite counters,granite counters,
401,Granite kitchen countertops,granite counters,
451,Granite countertops with backsplash,granite counters,
465,"Elegant, open, gourmet kitchens with granite and quartz countertops",granite counters,
487,Premium Granite Countertops Throughout,granite counters,
518,bianco  antico granite countertops,granite counters,
534,Granite Counters,granite counters,
542,"Optional ""Gold Package"" including granite countertops in the kitchen, brushed bronze knobs & handles on all kitchen and bathroom cabinetry, ceiling fans with 52-inch cherry wood blades, swirled marble glass decorative lighting, carpeting, and your favorite of three paint colors for accenting up to two walls",granite counters,
560,"Optional ""Diamond Package"" including all ""Platinum Package"" features plus granite counter tops",granite counters,
619,Granite countertops and travertine tile kitchen backsplash,granite counters,
635,"Optional ""Gold Package"" including granite countertops in the kitchen, brushed bronze knobs &amp; handles on all kitchen and bathroom cabinetry, ceiling fans with 52-inch cherry wood blades, swirled marble glass decorative lighting, carpeting, and your favorite of four paint colors for accenting up to two walls",granite counters,
708,"Optional ""Gold Package"" including granite countertops in the kitchen, ceiling fans with 52-inch cherry wood blades, swirled marble glass decorative lighting, carpeting, and your favorite of three paint colors for accenting up to two walls",granite counters,
739,Upgrades available including vinyl wood flooring and granite countertops,granite counters,
811,Italian Granite countertops and backsplashes,granite counters,
841,"Gold Upgrade Package: cherry cabinetry, gold granite countertops, backsplash, upgraded fans/fixtures, extra lighting",granite counters,
875,Granite counter tops,granite counters,
953,Granite or Quartz Counters,granite counters,
970,Granite Countertops,granite counters,
994,Complementing Cream-Toned Granite Countertops in Kitchen and Baths,granite counters,
1012,"Optional ""Platinum Package"" including all the ""Gold Packages"" feature plus vinyl wood-plank floors",granite counters,
1028,"Luxurious, granite kitchen countertops",granite counters,
1040,Marble Vanities,granite counters,
1080,"Platinum Upgrade Package: cherry cabinetry, grey granite countertops, backsplash, upgraded fans/fixtures, extra lighting",granite counters,
1147,Granite Counter-tops,granite counters,
1179,Hard-Surface Counters,granite counters,
1211,Granite bathroom and kitchen countertops,granite counters,
1213,Granite countertops throughout home,granite counters,
1305,Granite bathroom countertops,granite counters,
1343,Granite countertops (select homes),granite counters,
1353,"Diamond Upgrade Package: grey cabinetry, grey granite countertops, backsplash, upgraded fans/fixtures, extra lighting",granite counters,
1427,Cultured marble vanities,granite counters,
117,BBQ/Lounge Area,grill,
32,Grilling Areas with Premium Outdoor Cooking Equipment,grill,
57,Outdoor Firepit,grill,
67,Outdoor Lounge with 2-Way Fireplaces,grill,
83,Lakefront Ramada with Built-In Barbecue,grill,
85,Outdoor Grill Stations and Dining Options,grill,
102,Picnic area with gas barbecue grills,grill,
115,Charcoal BBQ grills,grill,
121,Outdoor Fire Pit with Seating,grill,
186,Outdoor Premium Kitchen Grills for the ultimate cooking experience,grill,
192,Deluxe gas BBQ grills,grill,
240,Outdoor Gourmet Grilling Areas,grill,
276,Elegant Fire Pits with lounge seating for brisk winter nights,grill,
293,Fire pits,grill,
314,Sculptural Fire Pit,grill,
352,BBQ areas with outdoor kitchen,grill,
354,Outdoor BBQ Grills & Seating w/ Outdoor TVs,grill,
358,Outdoor seating with barbeque grilling stations,grill,
369,Gas BBQ grills,grill,
380,Picnic Area with Barbecue Grill,grill,
407,Outdoor ramadas and fire pits,grill,
464,Poolside gas firepit & seating area,grill,
479,Outdoor kitchen & grilling stations,grill,
493,Gas range w/ under-oven broiler,grill,
496,"Landscaped courtyard with cozy seating areas, including a misting system and fire pits",grill,
513,Gazebos with picnic tables and grilling stations,grill,
515,Grilling Stations,grill,
536,Outdoor Lounge with TV and Fire Pit,grill,
546,"Covered Community Space with Fire Pit, BBQ and Kitchen",grill,
549,Picnic areas with gas barbecue grills,grill,
553,Picnic area with gas barbecue grill,grill,
560,Cabanas with barbecue grills,grill,
579,stainless steel barbeque grills,grill,
615,BBQ & Outdoor Kitchen Area,grill,
618,Large Island Gas BBQ grills,grill,
645,Barbecues,grill,
683,BBQ grills,grill,
756,Fire pit,grill,
801,BBQ rea,grill,
879,Multiple BBQ's,grill,
902,Exterior stone,grill,
909,Gas Grills,grill,
915,Barbeque Grilling Stations,grill,
927,Barbecue stations,grill,
967,Gas barbecue grills,grill,
985,Ramadas with barbecue grills,grill,
1046,Multiple Fire Pits,grill,
1095,Outdoor Fire Pits,grill,
1160,Barbecue Grilling Stations,grill,
1164,Barbecue Grills,grill,
1206,Barbecue,grill,
1214,Outdoor grill stations,grill,
1217,Outdoor Spaces with Fire Pits and Barbeques,grill,
1276,Gas fire pits and BBQ grilling areas,grill,
335,Guest parking on exterior adjacent to building,guest parking,
388,Resident Guest parking,guest parking,
15,24-hour fitness center with top-of-the-line equipment,gym,
29,Luxe fitness center with Echelon Smart Exercise Equipment and yoga studio,gym,
36,TechnoGym fitness equipment,gym,
43,24 hour fully equipped fitness center,gym,
68,Two-Story Fitness Center with State-of-the-Art Equipment,gym,
88,Complimentary Fitness Classes,gym,
97,Spinning Studio with Virtual Trainer,gym,
113,"Enormous 24/7 fitness center with individual workout stations, Yoga Studio, and Spin-Bike Room",gym,
123,24/7 fitness center with individual workout stations and TVs,gym,
136,24 hour fitness club with Technogym equipment,gym,
146,24 hour State of the art fitness center,gym,
184,"24/7 fitness center with individual workout stations and Virtual Personal Trainers, yoga studio, and spin-bike room",gym,
204,24/7 fitness center with individual workout stations and free weights,gym,
227,24-hour fitness center with individual workout stations,gym,
237,"24-hour fitness center with individual workout stations, free weights and Cardio Theater, wireless entertainment system",gym,
243,Spin room,gym,
257,High-Tech Fitness Center with Cardio & Strength Equipment,gym,
263,state-of-the-art wellness center,gym,
264,24-hour Fitness center,gym,
313,Fully Equipped Wellness Center with Technogym Machines,gym,
